Company,Last valuation(US$billions),Valuation date,Exit date,Exit reason,Exit valuation(US$billions),Country,Founders,col_8,Founder_Genders
SpaceX,1250,February2026(2026-02)[575],June2026(2026-06)[576],IPO,1770,United States,Elon Musk,,['male']
Uber,72,August 2018[577],May 2019[578],IPO,82.4,United States,"Travis Kalanick,Garett Camp",,"['male', 'male']"
DiDi,62,July 2019[579],June 2021[580],IPO,73,China,Cheng Wei,,['male']
Cursor,29,November2025(2025-11)[581],June 2026[582],Acquired,60,United States,"Michael Truell,Sualeh Asif,Arvid LunnemarkandAman Sanger",,"['male', 'male', 'male', 'male']"
Facebook,50,January 2011,May 2012[583],IPO,104,United States,"Mark Zuckerberg,Eduardo Saverin, Andrew McCollum,Chris Hughes,Dustin Moskovitz",,"['male', 'male', 'male', 'male', 'male']"
Xiaomi,45,April 2015,July 2018[584],IPO,70,China,Lei Jun,,['male']
Alibaba,42,June 2016,September 2014[585],IPO,238,China,Jack Ma,,['male']
Lufax,39.4,March 2019,October 2020[586],IPO,33,China,,,[]
UiPath,35,February 2021[587],April 2021[588],IPO,29,United States / Romania,Daniel Dinesand Marius Tîrcă,,['male']
Airbnb,31,March 2017[589],December 2020[590],IPO,100,United States,"Brian Chesky,Nathan Blecharczyk,Joe Gebbia",,"['male', 'male', 'male']"
Nubank,30.25,June 2021[591],December 2021,IPO,45,Brazil,"David Velez, Edward Wible, Cristina Junqueira",,"['male', 'male', 'female']"
Meituan-Dianping,30,October 2017[183],September 2018[592],IPO,53,China,,,[]
Kuaishou,28,December 2019[593],January 2021[594],IPO,60.9,China,"Su Hua, Cheng Yixiao",,"['male', 'male']"
Instacart,24,March2022(2022-03)[14],September 2023[595],IPO,11,United States,"Apoorva Mehta, Max Mullen, Brandon Leonardo",,"['male', 'male', 'male']"
Coreweave,23,March 2025[596],March 2025[596],,23,United States,,,[]
J&T Express,20,October 2023,October 2023,IPO,20,Indonesia,"Jet Lee, Tony Chen",,"['female', 'male']"
CATL,20.0,March 2018[597],June 2018[598],IPO,12.3,China,,,[]
Tencent Music,18,January 2018,December 2018[599],IPO,21.3,China,,,[]
DoorDash,16,June 2020[600],December 2020[601],IPO,32.4,United States,"Tony Xu,Stanley Tang,Andy Fangand Evan Moore",,"['male', 'male', 'male']"
Snap Inc,19.3,May 2016[5],March 2017[602][603],IPO,24,United States,"Evan Spiegel,Bobby Murphy, Reggie Brown",,"['male', 'male', 'male']"
Flipkart,15.5,May 2015[604],May 2018[605],Acquired,22,India,"Sachin Bansal,Binny Bansal",,"['male', 'female']"
Paytm,3.2,February 2024[606],November 2021[607],IPO,20,India,Vijay Shekhar Sharma,,['male']
Lyft,15.1,June 2018[608],March 2019[609],IPO,24.0,United States,"Logan Green, John Zimmer",,"['male', 'male']"
Adyen,15.1,March 2018[5],June 2018[610],IPO,8.3,Netherlands,"Pieter van der Does, Arnout Schuijff",,"['male', 'male']"
Pinduoduo,15,April 2018[183],July 2018[611],IPO,60,China,Colin Huang,,['male']
Grab,14,March 2019[612],December 2021[613],SPAC merger,40,Singapore,"Anthony Tan,Tan Hooi Ling",,"['male', 'male']"
Pinterest,13.0,July 2018[614],April 2019[615],IPO,10.0,United States,"Ben Silbermann, Paul Sciarra, Evan Sharp",,"['male', 'male', 'male']"
Snowflake,12.4,Feb 2020[616],Dec 2020[616],IPO,33,United States,"Benoit Dageville, Thierry Cruanes, Marcin Zukowski",,"['male', 'male', 'male']"
Robinhood,11.7,September 2020[617],July 2021[618],IPO,26.7,United States,"Vladimir Tenev,Baiju Bhatt",,"['male', 'male']"
Figma,10,June2021(2021-06)[619],July2025(2025-07)[620],IPO,19.3,United States,Dylan Field and Evan Wallace,,"['male', 'male']"
Dropbox,10,January 2014[621],March 2018[622],IPO,12,United States,"Drew Houston,Arash Ferdowsi",,"['male', 'male']"
Squarespace,10,March 2021[623],May 2021[624],Direct listing,7.4,United States,Anthony Casalena,,['male']
Gojek,10,April 2019[625],May 2021[626],Merger toGoTo,10.5,Indonesia,"Nadiem Makarim, Kevin Aluwi",,"['male', 'male']"
Zynga,9.1,February 2011,December 2011[627],IPO,7,United States,"Mark Pincus,Eric Schiermeyer,Justin Waldron, Michael Luxton, Steve Schoettler, and Andrew Trader",,"['male', 'male', 'male', 'male', 'male', 'male']"
Coupang,9,November 2018[628],March 2021[629],IPO,58,South Korea,Bom Kim,,['male']
Spotify,8.53,March 2016[5],April 2018[630],Direct listing,30,Sweden,"Daniel Ek,Martin Lorentzon",,"['male', 'male']"
Skype,8.5,May 2011,September 2015[631],Acquired,2.6,Sweden,Niklas ZennströmandJanus Friis,,"['male', 'male']"
Wolt,8.1,November 2021[632],September 2021[633],Acquired,8.1,Finland,"Miki Kuusi, Elias Aalto, Mika Matikainen, Oskari Pétas, Lauri Andler, Juhani Mykkänen",,"['female', 'male', 'male', 'male', 'male', 'male']"
Toast,8,November 2020[634],September 2021[635],IPO,20,United States,,,[]
Twitter,8,September 2011,November 2013[636],IPO,14.2,United States,"Jack Dorsey,Noah Glass,Biz Stone,Evan Williams",,"['male', 'male', 'male', 'male']"
Coinbase,8,October 2018[637],April 2021[638],IPO,65,United States,"Brian Armstrong,Fred Ehrsam",,"['male', 'male']"
Argo AI,7.25,July 2020[639],October 2022[640],Defunct,,United States,Bryan Salesky and Peter Rander,,"['male', 'male']"
