Country,male,female,unknown
Argentina,1,0,0
Armenia,3,0,0
Artificial Intelligence,0,0,1
Australia,6,1,0
Bangladesh,2,0,0
Belarus,2,0,0
Belgium,3,0,0
Canada,9,0,2
China,5,1,3
Croatia,3,0,0
Czech Republic,3,0,0
Egypt,2,0,0
Estonia,1,0,0
Finland,17,2,1
France,9,0,0
Georgia,1,0,0
Germany,12,0,0
Hong Kong,1,0,0
India,32,2,36
Ireland,2,0,0
Israel,11,0,0
Japan,1,1,0
Lithuania,6,1,0
Poland,2,0,0
Portugal,4,1,0
Portugal[358],2,0,0
Portugal[92],2,0,0
Singapore,1,0,0
South Korea,0,1,0
Sweden,6,0,0
Switzerland,3,0,0
Turkey,1,1,0
Ukraine[56],3,0,0
United Arab Emirates,2,0,0
United Kingdom,14,1,1
United States,181,15,22
United States[57],3,0,0
United States[93],6,0,0
