Sector,male,female,unknown
Aerospace,1,0,0
Ai,2,0,0
Ai Audio Technologies,2,0,0
Ai-Poweredsaas,0,1,0
Application Security,2,0,0
Artificial Intelligence,56,5,4
B2B E-Commerce,1,1,6
Biotechnology,4,0,0
Blockchain,7,0,0
Blockchain Gaming,1,0,0
Cloud Communications,3,0,0
Cloud Computing,2,0,0
Collaborative Software,6,0,0
Commerce,1,0,1
Computer Security,1,0,0
Construction,1,0,0
Consumer Staples,1,0,0
Cryptocurrency,7,0,0
Cybersecurity,13,2,1
Data Analytics,6,1,1
Data Governance,3,0,0
Data Infrastructure,3,0,0
Defense,3,0,0
Defense Technology,8,0,0
Digital Health,2,0,0
E-Commerce,13,1,3
Education Technology,2,0,0
Educational Technology,2,0,2
Employee Benefits Platform,1,0,0
Enterprise Technology,1,0,2
Fantasy Sports,0,0,2
Finance,1,1,0
Financial Services,4,0,0
Financial Technology,27,3,10
Fintech,5,0,0
Fusion Power,4,0,0
Graphic Design,5,1,0
Health,4,0,0
Health Care,1,0,2
Health Technology,3,0,0
Healthcare,3,0,0
Healthcare Technology,1,1,1
Hospitality,1,1,0
Hospitality Management Platform,1,0,0
Human-Enhancement Ai,0,1,1
Humanoid Robotics,1,0,0
Internet,7,0,2
Jewelery,0,1,0
June 2021[113],0,0,1
Logistics,3,0,1
Marketplace,4,1,8
Media,2,0,1
Messaging,2,0,0
Mobile Devices,1,0,0
Mobile Financial Services,2,0,0
Music,4,0,0
Network Operating System,2,0,0
Neurotechnology,1,0,0
Online Membership Service,2,0,0
Orbital Data Centers,3,0,0
Physical Security,4,0,0
Product Management Platform,2,0,0
Publishing,2,0,1
Quantum Computing,4,0,1
Quantum Technology,1,0,0
Restaurants,1,0,0
Robotics,1,0,0
Self-Driving Cars,0,0,1
Semiconductor,1,0,0
Semiconductorsartificial Intelligence,2,0,0
Social Network,2,0,1
Software,30,0,6
Software As A Service,10,1,0
Software Development,2,0,0
Software-Defined Networking,2,0,0
Sportswear,2,0,0
Superintelligence,0,1,1
Supply Chain Automation,2,1,0
Tax Software,2,0,0
Technology,8,0,4
Transportation,3,0,0
Vacation Rental Software Platform,3,0,0
Video Games,1,0,0
Vpn Service,3,0,0
Wearables,2,1,0
Workforce Management,1,0,0
Workforce Management Software,2,0,0
