Sector,male,female,unknown
Aerospace,1,0,0
Ai,2,0,0
Ai Audio Technologies,2,0,0
Ai-Poweredsaas,0,1,0
Application Security,2,0,0
Artificial Intelligence,57,5,3
B2B E-Commerce,1,1,6
Biotechnology,4,0,0
Blockchain,5,1,1
Blockchain Gaming,0,0,1
Cloud Communications,2,0,1
Cloud Computing,1,0,1
Collaborative Software,6,0,0
Commerce,2,0,0
Computer Security,1,0,0
Construction,1,0,0
Consumer Staples,1,0,0
Cryptocurrency,6,0,1
Cybersecurity,13,2,1
Data Analytics,6,1,1
Data Governance,3,0,0
Data Infrastructure,3,0,0
Defense,2,0,1
Defense Technology,8,0,0
Digital Health,2,0,0
E-Commerce,13,1,3
Education Technology,2,0,0
Educational Technology,2,0,2
Employee Benefits Platform,1,0,0
Enterprise Technology,1,0,2
Fantasy Sports,0,0,2
Finance,1,0,0
Financial Services,2,0,1
Financial Technology,27,3,10
Fintech,5,0,0
Fusion Power,4,0,0
Graphic Design,5,1,0
Health,4,0,0
Health Care,1,0,2
Health Technology,3,0,0
Healthcare,3,0,0
Healthcare Technology,2,0,1
Hospitality,0,1,1
Hospitality Management Platform,1,0,0
Human-Enhancement Ai,0,1,1
Humanoid Robotics,1,0,0
Internet,4,0,4
Jewelery,0,1,0
June 2021[113],0,0,1
Logistics,4,0,0
Marketplace,4,2,7
Media,2,0,1
Messaging,2,0,0
Mobile Devices,0,0,1
Mobile Financial Services,2,0,0
Music,4,0,0
Network Operating System,2,0,0
Neurotechnology,1,0,0
Online Membership Service,2,0,0
Orbital Data Centers,3,0,0
Physical Security,4,0,0
Product Management Platform,2,0,0
Publishing,2,0,1
Quantum Computing,4,0,1
Quantum Technology,1,0,0
Restaurants,1,0,0
Robotics,1,0,0
Self-Driving Cars,0,0,1
Semiconductor,1,0,0
Semiconductorsartificial Intelligence,2,0,0
Social Network,2,0,1
Software,27,1,8
Software As A Service,9,1,1
Software Development,2,0,0
Software-Defined Networking,2,0,0
Sportswear,2,0,0
Superintelligence,0,1,1
Supply Chain Automation,2,1,0
Tax Software,2,0,0
Technology,9,1,2
Transportation,2,0,1
Vacation Rental Software Platform,3,0,0
Video Games,1,0,0
Vpn Service,3,0,0
Wearables,2,1,0
Workforce Management,1,0,0
Workforce Management Software,2,0,0
