Exit Valuation,male,female,unknown
0.1,2,1,0
0.57,0,0,1
1,5,0,0
1.2,3,0,0
1.3,4,0,0
1.67,4,0,0
1.8,2,0,3
10.0,3,0,0
10.13,1,0,1
10.5,3,0,1
100,3,0,0
104,5,0,0
11,2,0,1
11.6,1,0,1
12,2,0,0
13,3,0,0
14.2,4,0,0
17,1,0,0
19,2,0,0
19.3,2,0,0
2,1,1,0
2.1,3,0,0
2.6,1,0,0
2.96,1,0,0
20,2,1,0
22,1,0,1
238,1,0,0
24,3,0,0
24.0,2,0,0
26.7,1,0,1
29,1,0,0
3.1,1,0,1
3.6,2,0,0
30,2,0,0
32.4,3,0,0
33,2,0,1
4,4,0,2
4.3,3,0,0
4.5,0,0,1
40,2,0,0
45,2,1,0
5.0,2,0,0
58,0,1,0
6,1,0,5
6.2,1,0,0
6.8,3,0,0
60,1,0,0
60.9,0,0,2
65,2,0,0
7,6,0,0
7.4,1,0,1
7.5,1,1,0
70,1,0,0
73,0,0,1
8.1,5,1,0
8.3,2,0,0
8.5,1,0,0
8.7,0,0,1
82.4,2,0,0
9,4,1,0
