Exit valuation(US$billions),male,female,unknown,companies
0.012,0,0,1,Better Place
0.013,0,0,1,Paytm Mall
0.015,0,0,1,Fab
0.1,2,1,0,ShopClues
0.25,0,0,2,Gilt Groupe; HeadSpin
0.4,0,0,2,Shazam; Zimi
0.425,0,0,1,Good Technology
0.46,0,0,1,QingCloud
0.57,0,0,1,Quikr
0.65,0,0,1,SimpliVity
0.67,0,0,1,36KrMedia
0.74,0,0,1,Jia.com
0.769,0,0,1,Ucommune
0.8,0,0,1,Kabam
0.86,0,0,1,Three Squirrels
0.975,0,0,1,Loom
1,5,0,1,CRF Health; Heptagon; MySQL; Shape Security
1.16,0,0,1,Avito.ru
1.17,0,0,1,Quotient Technology
1.2,3,0,1,Fangdd.com; Twilio
1.3,4,0,3,Mogu; Shopify; Solstice; Zoox; eFront
1.33,0,0,1,Vlocity
1.4,0,0,3,Jasper; Rent the Runway; Sunrun
1.42,0,0,1,New Relic
1.47,0,0,1,Babytree
1.5,0,0,3,Freshly; Lynda.com; Stitch Fix
1.54,0,0,1,AirWatch
1.6,0,0,1,Bloom Energy
1.67,4,0,0,Box
1.68,0,0,1,Coupa
1.7,0,0,3,Coveo; NantHealth; One Medical
1.74,0,0,1,Skyscanner
1.8,2,0,4,BigBasket; Peak Games
1.9,0,0,1,UCloud
1.9[776],0,0,1,Sonder Corp.
10.0,3,0,0,Pinterest
10.13,0,0,2,Freshworks
10.5,3,0,1,Deliveroo; Gojek
100,3,0,0,Airbnb
104,5,0,0,Facebook
11,2,0,3,Instacart; IronSource; Wise
11.6,1,0,1,Samsara
12,2,0,0,Dropbox
12.3,0,0,1,CATL
13,3,0,0,Groupon
14.2,3,0,1,Twitter
17,1,0,0,Gitlab
19,2,0,0,WhatsApp
19.3,2,0,0,Figma
2,1,1,1,Blue Apron; Truecaller
2.0,0,0,1,MedMen
2.1,3,0,4,"9F; Deliverr; Innovent Biologics; Okta; Roku, Inc.; Wheels Up"
2.2,0,0,2,17Zuoye; Maoyan
2.21,0,0,1,Nutanix
2.35,0,0,1,Duo Security
2.37,0,0,1,Darktrace
2.4,0,0,3,Flywire; Wayfair; Zulily
2.5,0,0,2,Ginkgo Bioworks; MissFresh
2.6,1,0,2,Glovo; Skype; WalkMe
2.65,0,0,2,Postmates; Vonage
2.7,0,0,2,Mobike; Paidy
2.96,1,0,0,GoPro
20,2,1,1,J&T Express; Paytm; Toast
21,0,0,1,Sportradar
21.3,0,0,1,Tencent Music
22,1,0,1,Flipkart
23,0,0,1,Coreweave
238,1,0,0,Alibaba
24,3,0,0,Snap Inc
24.0,2,0,0,Lyft
25,0,0,1,Krafton
26.7,1,0,1,Robinhood
28.6,0,0,1,AppLovin
29,1,0,0,UiPath
3.1,1,0,2,Careem; Pure Storage
3.3,0,0,1,Jet.com
3.5,0,0,1,23andMe
3.6,2,0,1,Duolingo; Square
3.7,0,0,3,AppDynamics; Kingsoft; Mercari
3.73,0,0,1,DouYu
3.9,0,0,3,HomeAway; JFrog; Pivotal
30,2,0,0,Spotify
32.4,3,0,0,DoorDash
33,2,0,2,Lufax; Snowflake
4,4,0,3,Cloudflare; Udemy; Woowa Brothers
4.3,3,0,0,Coursera; LinkedIn
4.5,0,0,1,ReNew Power
4.6,0,0,2,Delhivery; Meitu
4.9,0,0,1,AvidXchange
40,2,0,0,Grab
45,2,1,0,Nubank
5,0,0,1,Amplitude
5.0,2,0,0,Nowports
5.3,0,0,2,Sea Limited; Zhihu
5.5,0,0,1,Ucar
5.8,0,0,2,Stemcentrx; The Hut Group
53,0,0,1,Meituan-Dianping
58,0,0,1,Coupang
6,1,0,5,Bukalapak; PolicyBazaar
6.2,1,0,0,Farfetch
6.5,0,0,2,Auth0; MuleSoft
6.7,0,0,2,Zalando; e-Shang Redwood
6.8,3,0,0,Monday.com
60,1,0,0,Pinduoduo
60.9,0,0,2,Kuaishou
65,2,0,0,Coinbase
7,6,0,0,Zynga
7.0,0,0,1,"Compass, Inc."
7.02,0,0,1,Atlassian
7.3,0,0,1,Roivant Sciences
7.4,1,0,1,Nykaa; Squarespace
7.5,1,0,2,Moderna Therapeutics; Tokopedia
7.6,0,0,1,Mobileye
7.9,0,0,1,Oscar Health
70,0,0,1,Xiaomi
73,0,0,1,DiDi
8,0,0,1,Cazoo
8.1,5,1,2,Credit Karma; Peloton; Wolt
8.3,2,0,0,Adyen
8.5,1,0,1,Lending Club; TuSimple
8.65,0,0,1,SoFi
8.7,0,0,1,Zomato
8.9,0,0,1,SmileDirectClub
82.4,2,0,0,Uber
9,4,1,0,Confluent; WeWork
9.0,0,0,1,Zoom
9.5,0,0,1,Ele.me
Uruguay,0,0,1,dLocal
