Company,Last valuation(US$billions),Valuation date,Exit date,Exit reason,Exit valuation(US$billions),Country,Founders,col_8,Founder_Genders
Uber,72,August 2018[577],May 2019[578],IPO,82.4,United States,"Travis Kalanick,Garett Camp",,"['male', 'male']"
DiDi,62,July 2019[579],June 2021[580],IPO,73,China,Cheng Wei,,['unknown']
Facebook,50,January 2011,May 2012[581],IPO,104,United States,"Mark Zuckerberg,Eduardo Saverin, Andrew McCollum,Chris Hughes,Dustin Moskovitz",,"['male', 'male', 'male', 'male', 'male']"
Xiaomi,45,April 2015,July 2018[582],IPO,70,China,Lei Jun,,['male']
Alibaba,42,June 2016,September 2014[583],IPO,238,China,Jack Ma,,['male']
Lufax,39.4,March 2019,October 2020[584],IPO,33,China,,,[]
UiPath,35,February 2021[585],April 2021[586],IPO,29,United States / Romania,Daniel Dinesand Marius Tîrcă,,['male']
Airbnb,31,March 2017[587],December 2020[588],IPO,100,United States,"Brian Chesky,Nathan Blecharczyk,Joe Gebbia",,"['male', 'male', 'male']"
Nubank,30.25,June 2021[589],December 2021,IPO,45,Brazil,"David Velez, Edward Wible, Cristina Junqueira",,"['male', 'male', 'female']"
Meituan-Dianping,30,October 2017[184],September 2018[590],IPO,53,China,,,[]
Kuaishou,28,December 2019[591],January 2021[592],IPO,60.9,China,"Su Hua, Cheng Yixiao",,"['unknown', 'unknown']"
Instacart,24,March 2022(2022-03)[14],September 2023[593],IPO,11,United States,"Apoorva Mehta, Max Mullen, Brandon Leonardo",,"['unknown', 'male', 'male']"
Coreweave,23,March 2025[594],March 2025[594],,23,United States,,,[]
J&T Express,20,October 2023,October 2023,IPO,20,Indonesia,"Jet Lee, Tony Chen",,"['female', 'male']"
CATL,20.0,March 2018[595],June 2018[596],IPO,12.3,China,,,[]
Tencent Music,18,January 2018,December 2018[597],IPO,21.3,China,,,[]
DoorDash,16,June 2020[598],December 2020[599],IPO,32.4,United States,"Tony Xu,Stanley Tang,Andy Fangand Evan Moore",,"['male', 'male', 'male']"
Snap Inc,19.3,May 2016[5],March 2017[600][601],IPO,24,United States,"Evan Spiegel,Bobby Murphy, Reggie Brown",,"['male', 'male', 'male']"
Flipkart,15.5,May 2015[602],May 2018[603],Acquired,22,India,"Sachin Bansal,Binny Bansal",,"['male', 'unknown']"
Paytm,3.2,February 2024[604],November 2021[605],IPO,20,India,Vijay Shekhar Sharma,,['male']
Lyft,15.1,June 2018[606],March 2019[607],IPO,24.0,United States,"Logan Green, John Zimmer",,"['male', 'male']"
Adyen,15.1,March 2018[5],June 2018[608],IPO,8.3,Netherlands,"Pieter van der Does, Arnout Schuijff",,"['male', 'male']"
Pinduoduo,15,April 2018[184],July 2018[609],IPO,60,China,Colin Huang,,['male']
Grab,14,March 2019[610],December 2021[611],SPAC merger,40,Singapore,"Anthony Tan,Tan Hooi Ling",,"['male', 'male']"
Pinterest,13.0,July 2018[612],April 2019[613],IPO,10.0,United States,"Ben Silbermann, Paul Sciarra, Evan Sharp",,"['male', 'male', 'male']"
Snowflake,12.4,Feb 2020[614],Dec 2020[614],IPO,33,United States,"Benoit Dageville, Thierry Cruanes, Marcin Zukowski",,"['unknown', 'male', 'male']"
Robinhood,11.7,September 2020[615],July 2021[616],IPO,26.7,United States,"Vladimir Tenev,Baiju Bhatt",,"['male', 'unknown']"
Figma,10,June 2021(2021-06)[617],July 2025(2025-07)[618],IPO,19.3,United States,Dylan Field and Evan Wallace,,"['male', 'male']"
Dropbox,10,January 2014[619],March 2018[620],IPO,12,United States,"Drew Houston,Arash Ferdowsi",,"['male', 'male']"
Squarespace,10,March 2021[621],May 2021[622],Direct listing,7.4,United States,Anthony Casalena,,['male']
Gojek,10,April 2019[623],May 2021[624],Merger toGoTo,10.5,Indonesia,"Nadiem Makarim, Kevin Aluwi",,"['unknown', 'male']"
Zynga,9.1,February 2011,December 2011[625],IPO,7,United States,"Mark Pincus,Eric Schiermeyer,Justin Waldron, Michael Luxton, Steve Schoettler, and Andrew Trader",,"['male', 'male', 'male', 'male', 'male', 'male']"
Coupang,9,November 2018[626],March 2021[627],IPO,58,South Korea,Bom Kim,,['female']
Spotify,8.53,March 2016[5],April 2018[628],Direct listing,30,Sweden,"Daniel Ek,Martin Lorentzon",,"['male', 'male']"
Skype,8.5,May 2011,September 2015[629],Acquired,2.6,Sweden,Niklas ZennströmandJanus Friis,,['male']
Wolt,8.1,November 2021[630],September 2021[631],Acquired,8.1,Finland,"Miki Kuusi, Elias Aalto, Mika Matikainen, Oskari Pétas, Lauri Andler, Juhani Mykkänen",,"['female', 'male', 'male', 'male', 'male', 'male']"
Toast,8,November 2020[632],September 2021[633],IPO,20,United States,,,[]
Twitter,8,September 2011,November 2013[634],IPO,14.2,United States,"Jack Dorsey,Noah Glass,Biz Stone,Evan Williams",,"['male', 'male', 'male', 'male']"
Coinbase,8,October 2018[635],April 2021[636],IPO,65,United States,"Brian Armstrong,Fred Ehrsam",,"['male', 'male']"
Argo AI,7.25,July 2020[637],October 2022[638],Defunct,,United States,Bryan Salesky and Peter Rander,,"['male', 'male']"
Tokopedia,7,December 2018[639],May 2021[624],Merger toGoTo,7.5,Indonesia,"William Tanuwijaya, Leontinus Alpha Edison",,"['male', 'female']"
Deliveroo,7.0,January 2021[640],March 2021[641][642],IPO,10.5,United Kingdom,"Will Shu, Greg Orlowski",,"['male', 'male']"
Roivant Sciences,7,November 2018[643],September 2021[644],SPAC merger,7.3,Switzerland,,,[]
Slack Technologies,7.0,August 2018[645],,IPO,,United States,"Stewart Butterfield, Cal Henderson",,"['male', 'male']"
WeWork,7,November 2019[646],October 2021[647],SPAC merger,9,United States,"Adam Newmann,Miguel McKelvey",,"['male', 'male']"
"Compass, Inc.",6.4,July 2019[648][649],April 2021,IPO,7.0,United States,,,[]
Gitlab,6,January 2021[650],October 2021[651],IPO,17,Ukraine[652],"Dmytro Zaporozhets; Sytse ""Sid"" Sijbrandij",,['male']
Square,6,October 2014,November 2015[653],IPO,3.6,United States,"Jack Dorsey,Jim McKelvey",,"['male', 'male']"
SoFi,6,May 2020,May 2021[654],SPAC merger,8.65,United States,,,[]
Zomato,5.4,February 2021[655],July 2021,IPO,8.7,India,Deepinder Goyal,,['unknown']
Samsara,5.4,May 2020[656],December 2021[657],IPO,11.6,United States,"Sanjit Biswas, John Bicket",,"['unknown', 'male']"
Stemcentrx,5,September 2015,April 2016[658],Acquired,5.8,United States,,,[]
Nowports,1.1,May 2022,IPO,Logistics,5.0,Uruguay / Mexico,"Alfonso de los Ríos, Maximiliano Casal",,"['male', 'male']"
dLocal,6.1,April 2021[659],June 2021[660],IPO,Uruguay,,,,[]
Groupon,4.75,December 2010[661],November 2011[662],IPO,13,United States,"Eric Lefkofsky, Brad Keywell, Andrew Mason",,"['male', 'male', 'male']"
Krafton,5,August 2021[663],August 2021,IPO,25,South Korea,,,[]
Confluent,4.5,April 2020[664],June 2021[665],IPO,9,United States,"Jay Kreps,Neha Narkhede, Jun Rao",,"['male', 'female', 'male']"
Ucar,4.4,March 2017,July 2016[666],IPO,5.5,China,,,[]
Zalando,4.03,November 2013,October 2014[667][668],IPO,6.7,Germany,,,[]
Amplitude,4,June 2021[669],September 2021[670],IPO,5,United States,,,[]
Peloton,4.0,August 2018[671],September 2019,IPO,8.1,United States,,,[]
Credit Karma,4,March 2018[672],December 2020,Acquired,8.1,United States,,,[]
Ginkgo Bioworks,4,September 2019[673],September 2021[674],SPAC merger,2.5,United States,,,[]
Lending Club,3.8,August 2014,December 2014[675],IPO,8.5,United States,Renaud Laplanche,,['male']
Sea Limited,3.7,March 2016,October 2017[676],IPO,5.3,Singapore,,,[]
Freshworks,3.5,November 2019,September 2021[677],IPO,10.13,India / United States,"Girish Mathrubootham, Shan Krishnasamy",,"['unknown', 'male']"
Bukalapak,3.5,April 2021[184],August 2021[678],IPO,6,Indonesia,"Achmad Zaky, Fajrin Rasyid, Nugroho Herucahyono",,"['unknown', 'unknown', 'unknown']"
Wise,3.5,May 2019[679],July 2021[680],Direct listing,11,United Kingdom,,,[]
Zhihu,3.5,August 2019[681],March 2021[682],IPO,5.3,China,,,[]
Atlassian,3.3,April 2014,December 2015[683],IPO,7.02,Australia,,,[]
e-Shang Redwood,3.25,July 2017[184],October 2019[684],IPO,6.7,China,,,[]
Udemy,3.25,November 2020[685],October 2021[686],IPO,4,United States,"Oktay Caglar,Gagan Biyani,Eren Bali",,"['male', 'unknown', 'male']"
SmileDirectClub,3.2,October 2018,September 2019[687],IPO,8.9,United States,,,[]
Zoox,3.2,July 2018[688],July 2020[689],Acquired,1.3,United States,"Tim Kentley-Klay, Jesse Levinson",,"['male', 'male']"
Oscar Health,3.2,March 2018[690],March 2021[691],IPO,7.9,United States,,,[]
Cloudflare,3,March 2019,September 2019[692],IPO,4,United States,"Matthew Prince, Lee Holloway, andMichelle Zatlyn",,"['male', 'male', 'unknown']"
Delhivery,3,May 2021[693],May 2022,IPO,4.6,India,,,[]
Pure Storage,3,August 2014[694],October 2015,IPO,3.1,United States,,,[]
Maoyan,3.0,November 2017,January 2019[695],IPO,2.2,China,,,[]
Jia.com,3,February 2015[184],July 2018[696],IPO,0.74,China,,,[]
Mogu,3,January 2016,December 2018[697],IPO,1.3,China,,,[]
Paytm Mall,3,July 2019[698],May 2022[699],Devaluation,0.013,India,,,[]
Luckin Coffee,2.9,April 2019[184][700],May 2019,IPO,,China,"Lu Zhengyao, Jenny Qian Zhiya",,"['unknown', 'female']"
Pivotal,2.8,May 2016[5],April 2018[701][702],IPO,3.9,United States,,,[]
Monday.com,2.7,May 2020[703],June 2021[704],IPO,6.8,Israel,"Roy Mann, Eran Kampf and Eran Zinman",,"['male', 'male', 'male']"
Cazoo,2.6,September 2020[705],August 2021[706],SPAC merger,8,United Kingdom,,,[]
Woowa Brothers,2.6,March 2018[468],December 2019[707],Acquired,4,South Korea,,,[]
Ucommune,2.6,August 2018[184],November 2020,SPAC merger,0.769,China,,,[]
Coursera,2.5,July 2020[708],March 2021[709],IPO,4.3,United States,Andrew NgandDaphne Koller,,['male']
Cambricon,2.5,June 2018[184],June 2020[710],IPO,,China,,,[]
The Hut Group,2.5,August 2017[711],September 2020[712],IPO,5.8,United Kingdom,,,[]
Postmates,2.4,September 2019[713],December 2020[714],Acquired,2.65,United States,,,[]
Box,2.4,July 2014,January 2015[715],IPO,1.67,United States,"Aaron Levie, Dylan Smith, Sam Ghods, Jeff Queisser",,"['male', 'male', 'male', 'male']"
Mercari,2.4,March 2018[716],June 2018[717],IPO,3.7,Japan,,,[]
Kingsoft,2.4,January 2018[184],May 2020[718],IPO,3.7,China,,,[]
Sportradar,2.4,July 2018[719],September 2021[720],IPO,21,Switzerland,,,[]
PolicyBazaar,2.4,March 2021[721],November 2021[722],IPO,6,India,"Yashish Dahiya, Alok Bansal, Avaneesh Nirjar",,"['unknown', 'male', 'unknown']"
GoPro,2.25,December 2012,June 2014[723],IPO,2.96,United States,Nick Woodman,,['male']
Babytree,2.19,May 2018,November 2018[724],IPO,1.47,China,,,[]
